|11/18/01 at 07:27:08
64.216.176.11|09/10/01 at 21:43:31
142.166.105.161|09/09/01 at 23:54:31
24.185.234.1|09/08/01 at 23:21:01
172.137.118.19|08/23/01 at 23:32:54
65.8.97.250|07/05/01 at 23:18:58
MonTy|07/05/01 at 23:14:22
24.203.57.6|06/08/01 at 23:08:49
24.168.121.226|06/03/01 at 23:48:13
216.154.16.138|06/03/01 at 23:14:24
63.21.84.11|05/04/01 at 23:22:03
138.89.97.202|04/23/01 at 23:57:54
65.33.64.82|04/10/01 at 23:15:56
142.169.33.187|04/02/01 at 23:41:40
24.190.128.88|03/02/01 at 23:59:25
207.172.11.147|03/02/01 at 23:57:56
64.109.194.245|02/28/01 at 23:00:45
216.192.153.1|02/27/01 at 23:47:05
